trip_id,departure_at,arrival_at,route_name,vehicle_capacity,total_price,occupancy
8901,2017-11-01 18:00:00-06,2017-11-01 19:30:00-06,Polanco - Buenavista,22,124,10
8888,2017-11-01 07:00:00-06,2017-11-01 08:00:00-06,Ixtapaluca - Santa Fé,19,64,6
8912,2017-11-01 09:00:00-06,2017-11-01 09:45:00-06,Ixtapaluca - Condesa,21,59,5
8919,2017-11-01 08:00:00-06,2017-11-01 08:45:00-06,Ixtapaluca - Condesa,18,59,6
8891,2017-11-01 10:00:00-06,2017-11-01 11:00:00-06,Ecatepec - Insurgentes Sur,22,165,14
8902,2017-11-01 08:00:00-06,2017-11-01 08:45:00-06,Iztapalapa - Santa Fé,22,55,5
8892,2017-11-01 07:00:00-06,2017-11-01 07:45:00-06,Ixtapaluca - Condesa,21,59,5
8908,2017-11-01 17:00:00-06,2017-11-01 17:45:00-06,Santa Fé - Iztapalapa,21,55,5
8919,2017-11-01 08:00:00-06,2017-11-01 08:45:00-06,Ixtapaluca - Condesa,18,59,6
8877,2017-11-01 20:00:00-06,2017-11-01 20:45:00-06,Santa Fé - Iztapalapa,19,55,6
8909,2017-11-01 07:00:00-06,2017-11-01 08:15:00-06,Nezahualcóyotl - Del Valle,18,65,6
8910,2017-11-01 16:00:00-06,2017-11-01 17:00:00-06,Santa Fé - Ixtapaluca,22,128,10
8893,2017-11-01 19:00:00-06,2017-11-01 20:30:00-06,Polanco - Buenavista,19,62,6
8912,2017-11-01 09:00:00-06,2017-11-01 09:45:00-06,Ixtapaluca - Condesa,21,59,5
8910,2017-11-01 16:00:00-06,2017-11-01 17:00:00-06,Santa Fé - Ixtapaluca,22,64,5
8911,2017-11-01 18:00:00-06,2017-11-01 19:15:00-06,Del Valle - Nezahualcóyotl,21,65,5
8898,2017-11-01 08:00:00-06,2017-11-01 09:00:00-06,Ecatepec - Insurgentes Sur,21,55,5
8915,2017-11-01 07:00:00-06,2017-11-01 07:45:00-06,Ecatepec - Centro,20,126,10
8909,2017-11-01 07:00:00-06,2017-11-01 08:15:00-06,Nezahualcóyotl - Del Valle,18,65,6
8876,2017-11-01 16:00:00-06,2017-11-01 17:15:00-06,Del Valle - Nezahualcóyotl,18,65,6
8883,2017-11-01 20:00:00-06,2017-11-01 20:45:00-06,Condesa - Ixtapaluca,18,59,6
8912,2017-11-01 09:00:00-06,2017-11-01 09:45:00-06,Ixtapaluca - Condesa,21,59,5
8897,2017-11-01 07:00:00-06,2017-11-01 07:45:00-06,Iztapalapa - Santa Fé,22,55,5
8919,2017-11-01 08:00:00-06,2017-11-01 08:45:00-06,Ixtapaluca - Condesa,18,59,6
8916,2017-11-01 16:00:00-06,2017-11-01 16:45:00-06,Centro - Ecatepec,22,63,5
8882,2017-11-01 17:00:00-06,2017-11-01 18:15:00-06,Del Valle - Nezahualcóyotl,22,65,5
8913,2017-11-01 17:00:00-06,2017-11-01 18:30:00-06,Polanco - Buenavista,20,62,5
8891,2017-11-01 10:00:00-06,2017-11-01 11:00:00-06,Ecatepec - Insurgentes Sur,22,55,5
8910,2017-11-01 16:00:00-06,2017-11-01 17:00:00-06,Santa Fé - Ixtapaluca,22,128,10
8891,2017-11-01 10:00:00-06,2017-11-01 11:00:00-06,Ecatepec - Insurgentes Sur,22,55,5
8903,2017-11-01 18:00:00-06,2017-11-01 19:00:00-06,Santa Fé - Ixtapaluca,18,64,6
8879,2017-11-01 10:00:00-06,2017-11-01 11:15:00-06,Nezahualcóyotl - Del Valle,19,65,6
8919,2017-11-01 08:00:00-06,2017-11-01 08:45:00-06,Ixtapaluca - Condesa,18,59,6
8880,2017-11-01 17:00:00-06,2017-11-01 17:45:00-06,Centro - Ecatepec,19,126,11
8876,2017-11-01 16:00:00-06,2017-11-01 17:15:00-06,Del Valle - Nezahualcóyotl,18,65,6
8909,2017-11-01 07:00:00-06,2017-11-01 08:15:00-06,Nezahualcóyotl - Del Valle,18,65,6
8914,2017-11-01 20:00:00-06,2017-11-01 21:00:00-06,Insurgentes Sur - Ecatepec,21,55,5
8886,2017-11-01 19:00:00-06,2017-11-01 20:15:00-06,Del Valle - Nezahualcóyotl,22,65,5
8907,2017-11-01 10:00:00-06,2017-11-01 10:45:00-06,Iztapalapa - Santa Fé,19,55,6
8902,2017-11-01 08:00:00-06,2017-11-01 08:45:00-06,Iztapalapa - Santa Fé,22,55,5
8885,2017-11-01 11:00:00-06,2017-11-01 11:45:00-06,Ixtapaluca - Condesa,19,59,6
8913,2017-11-01 17:00:00-06,2017-11-01 18:30:00-06,Polanco - Buenavista,20,62,5
8879,2017-11-01 10:00:00-06,2017-11-01 11:15:00-06,Nezahualcóyotl - Del Valle,19,65,6
8907,2017-11-01 10:00:00-06,2017-11-01 10:45:00-06,Iztapalapa - Santa Fé,19,55,6
8914,2017-11-01 20:00:00-06,2017-11-01 21:00:00-06,Insurgentes Sur - Ecatepec,21,55,5
8877,2017-11-01 20:00:00-06,2017-11-01 20:45:00-06,Santa Fé - Iztapalapa,19,55,6
8909,2017-11-01 07:00:00-06,2017-11-01 08:15:00-06,Nezahualcóyotl - Del Valle,18,65,6
8894,2017-11-01 16:00:00-06,2017-11-01 17:00:00-06,Insurgentes Sur - Ecatepec,21,55,5
8904,2017-11-01 10:00:00-06,2017-11-01 10:45:00-06,Ixtapaluca - Condesa,18,59,6
8897,2017-11-01 07:00:00-06,2017-11-01 07:45:00-06,Iztapalapa - Santa Fé,22,55,5
8894,2017-11-01 16:00:00-06,2017-11-01 17:00:00-06,Insurgentes Sur - Ecatepec,21,55,5
8886,2017-11-01 19:00:00-06,2017-11-01 20:15:00-06,Del Valle - Nezahualcóyotl,22,65,5
8912,2017-11-01 09:00:00-06,2017-11-01 09:45:00-06,Ixtapaluca - Condesa,21,59,5
8888,2017-11-01 07:00:00-06,2017-11-01 08:00:00-06,Ixtapaluca - Santa Fé,19,64,6
8899,2017-11-01 18:00:00-06,2017-11-01 18:45:00-06,Centro - Ecatepec,18,63,6
8876,2017-11-01 16:00:00-06,2017-11-01 17:15:00-06,Del Valle - Nezahualcóyotl,18,65,6
8908,2017-11-01 17:00:00-06,2017-11-01 17:45:00-06,Santa Fé - Iztapalapa,21,110,10
8919,2017-11-01 08:00:00-06,2017-11-01 08:45:00-06,Ixtapaluca - Condesa,18,118,12
8915,2017-11-01 07:00:00-06,2017-11-01 07:45:00-06,Ecatepec - Centro,20,189,15
8882,2017-11-01 17:00:00-06,2017-11-01 18:15:00-06,Del Valle - Nezahualcóyotl,22,130,10
8948,2017-11-02 19:00:00-06,2017-11-02 19:45:00-06,Centro - Ecatepec,22,63,5
8910,2017-11-01 16:00:00-06,2017-11-01 17:00:00-06,Santa Fé - Ixtapaluca,22,64,5
8897,2017-11-01 07:00:00-06,2017-11-01 07:45:00-06,Iztapalapa - Santa Fé,22,55,5
8953,2017-11-02 09:00:00-06,2017-11-02 09:45:00-06,Ecatepec - Centro,21,63,5
8911,2017-11-01 18:00:00-06,2017-11-01 19:15:00-06,Del Valle - Nezahualcóyotl,21,65,5
8899,2017-11-01 18:00:00-06,2017-11-01 18:45:00-06,Centro - Ecatepec,18,63,6
8884,2017-11-01 09:00:00-06,2017-11-01 10:00:00-06,Ixtapaluca - Santa Fé,19,64,6
8883,2017-11-01 20:00:00-06,2017-11-01 20:45:00-06,Condesa - Ixtapaluca,18,59,6
8923,2017-11-02 11:00:00-06,2017-11-02 12:15:00-06,Nezahualcóyotl - Del Valle,18,65,6
8909,2017-11-01 07:00:00-06,2017-11-01 08:15:00-06,Nezahualcóyotl - Del Valle,18,65,6
8892,2017-11-01 07:00:00-06,2017-11-01 07:45:00-06,Ixtapaluca - Condesa,21,59,5
8928,2017-11-02 19:00:00-06,2017-11-02 20:15:00-06,Del Valle - Nezahualcóyotl,18,65,6
8894,2017-11-01 16:00:00-06,2017-11-01 17:00:00-06,Insurgentes Sur - Ecatepec,21,55,5
8913,2017-11-01 17:00:00-06,2017-11-01 18:30:00-06,Polanco - Buenavista,20,62,5
8944,2017-11-02 07:00:00-06,2017-11-02 07:45:00-06,Ixtapaluca - Condesa,19,118,11
8942,2017-11-02 07:00:00-06,2017-11-02 07:45:00-06,Ecatepec - Centro,20,63,5
8954,2017-11-02 09:00:00-06,2017-11-02 10:00:00-06,Ixtapaluca - Santa Fé,18,64,6
8914,2017-11-01 20:00:00-06,2017-11-01 21:00:00-06,Insurgentes Sur - Ecatepec,21,55,5
8897,2017-11-01 07:00:00-06,2017-11-01 07:45:00-06,Iztapalapa - Santa Fé,22,55,5
8956,2017-11-02 11:00:00-06,2017-11-02 11:45:00-06,Ixtapaluca - Condesa,19,177,16
8904,2017-11-01 10:00:00-06,2017-11-01 10:45:00-06,Ixtapaluca - Condesa,18,59,6
8929,2017-11-02 07:00:00-06,2017-11-02 08:15:00-06,Nezahualcóyotl - Del Valle,21,65,5
8938,2017-11-02 16:00:00-06,2017-11-02 17:00:00-06,Santa Fé - Ixtapaluca,21,64,5
8961,2017-11-02 10:00:00-06,2017-11-02 11:00:00-06,Ixtapaluca - Santa Fé,22,64,5
8886,2017-11-01 19:00:00-06,2017-11-01 20:15:00-06,Del Valle - Nezahualcóyotl,22,65,5
8895,2017-11-01 10:00:00-06,2017-11-01 11:30:00-06,Buenavista - Polanco,19,62,6
8883,2017-11-01 20:00:00-06,2017-11-01 20:45:00-06,Condesa - Ixtapaluca,18,59,6
8932,2017-11-02 08:00:00-06,2017-11-02 09:00:00-06,Ecatepec - Insurgentes Sur,20,55,5
8932,2017-11-02 08:00:00-06,2017-11-02 09:00:00-06,Ecatepec - Insurgentes Sur,20,110,10
8891,2017-11-01 10:00:00-06,2017-11-01 11:00:00-06,Ecatepec - Insurgentes Sur,22,55,5
8937,2017-11-02 19:00:00-06,2017-11-02 20:30:00-06,Polanco - Buenavista,20,62,5
8958,2017-11-02 08:00:00-06,2017-11-02 09:30:00-06,Buenavista - Polanco,21,62,5
8956,2017-11-02 11:00:00-06,2017-11-02 11:45:00-06,Ixtapaluca - Condesa,19,59,6
8888,2017-11-01 07:00:00-06,2017-11-01 08:00:00-06,Ixtapaluca - Santa Fé,19,64,6
8941,2017-11-02 16:00:00-06,2017-11-02 16:45:00-06,Centro - Ecatepec,22,63,5
8935,2017-11-02 07:00:00-06,2017-11-02 07:45:00-06,Iztapalapa - Santa Fé,20,55,5
8928,2017-11-02 19:00:00-06,2017-11-02 20:15:00-06,Del Valle - Nezahualcóyotl,18,65,6
8961,2017-11-02 10:00:00-06,2017-11-02 11:00:00-06,Ixtapaluca - Santa Fé,22,64,5
8957,2017-11-02 17:00:00-06,2017-11-02 17:45:00-06,Centro - Ecatepec,18,63,6
8906,2017-11-01 11:00:00-06,2017-11-01 12:15:00-06,Nezahualcóyotl - Del Valle,19,65,6
8961,2017-11-02 10:00:00-06,2017-11-02 11:00:00-06,Ixtapaluca - Santa Fé,22,64,5
8946,2017-11-02 08:00:00-06,2017-11-02 08:45:00-06,Ixtapaluca - Condesa,21,59,5
8898,2017-11-01 08:00:00-06,2017-11-01 09:00:00-06,Ecatepec - Insurgentes Sur,21,55,5
8911,2017-11-01 18:00:00-06,2017-11-01 19:15:00-06,Del Valle - Nezahualcóyotl,21,65,5
8922,2017-11-02 20:00:00-06,2017-11-02 20:45:00-06,Centro - Ecatepec,19,63,6
8954,2017-11-02 09:00:00-06,2017-11-02 10:00:00-06,Ixtapaluca - Santa Fé,18,64,6
8958,2017-11-02 08:00:00-06,2017-11-02 09:30:00-06,Buenavista - Polanco,21,62,5
8884,2017-11-01 09:00:00-06,2017-11-01 10:00:00-06,Ixtapaluca - Santa Fé,19,64,6
8903,2017-11-01 18:00:00-06,2017-11-01 19:00:00-06,Santa Fé - Ixtapaluca,18,64,6
8911,2017-11-01 18:00:00-06,2017-11-01 19:15:00-06,Del Valle - Nezahualcóyotl,21,65,5
8911,2017-11-01 18:00:00-06,2017-11-01 19:15:00-06,Del Valle - Nezahualcóyotl,21,65,5
8947,2017-11-02 17:00:00-06,2017-11-02 18:15:00-06,Del Valle - Nezahualcóyotl,19,65,6
8945,2017-11-02 20:00:00-06,2017-11-02 20:45:00-06,Condesa - Ixtapaluca,20,59,5
8948,2017-11-02 19:00:00-06,2017-11-02 19:45:00-06,Centro - Ecatepec,22,63,5
8910,2017-11-01 16:00:00-06,2017-11-01 17:00:00-06,Santa Fé - Ixtapaluca,22,64,5
8878,2017-11-01 09:00:00-06,2017-11-01 10:30:00-06,Buenavista - Polanco,19,62,6
8888,2017-11-01 07:00:00-06,2017-11-01 08:00:00-06,Ixtapaluca - Santa Fé,19,64,6
8889,2017-11-01 10:00:00-06,2017-11-01 11:00:00-06,Ixtapaluca - Santa Fé,21,64,5
8904,2017-11-01 10:00:00-06,2017-11-01 10:45:00-06,Ixtapaluca - Condesa,18,59,6
8913,2017-11-01 17:00:00-06,2017-11-01 18:30:00-06,Polanco - Buenavista,20,62,5
8900,2017-11-01 08:00:00-06,2017-11-01 09:30:00-06,Buenavista - Polanco,18,62,6
8963,2017-11-02 17:00:00-06,2017-11-02 17:45:00-06,Santa Fé - Iztapalapa,21,55,5
8947,2017-11-02 17:00:00-06,2017-11-02 18:15:00-06,Del Valle - Nezahualcóyotl,19,65,6
8887,2017-11-01 19:00:00-06,2017-11-01 19:45:00-06,Centro - Ecatepec,22,63,5
8888,2017-11-01 07:00:00-06,2017-11-01 08:00:00-06,Ixtapaluca - Santa Fé,19,64,6
8903,2017-11-01 18:00:00-06,2017-11-01 19:00:00-06,Santa Fé - Ixtapaluca,18,128,12
8876,2017-11-01 16:00:00-06,2017-11-01 17:15:00-06,Del Valle - Nezahualcóyotl,18,65,6
8902,2017-11-01 08:00:00-06,2017-11-01 08:45:00-06,Iztapalapa - Santa Fé,22,110,10
8935,2017-11-02 07:00:00-06,2017-11-02 07:45:00-06,Iztapalapa - Santa Fé,20,55,5
8953,2017-11-02 09:00:00-06,2017-11-02 09:45:00-06,Ecatepec - Centro,21,63,5
8876,2017-11-01 16:00:00-06,2017-11-01 17:15:00-06,Del Valle - Nezahualcóyotl,18,65,6
8908,2017-11-01 17:00:00-06,2017-11-01 17:45:00-06,Santa Fé - Iztapalapa,21,55,5
8901,2017-11-01 18:00:00-06,2017-11-01 19:30:00-06,Polanco - Buenavista,22,62,5
8948,2017-11-02 19:00:00-06,2017-11-02 19:45:00-06,Centro - Ecatepec,22,63,5
8931,2017-11-02 10:00:00-06,2017-11-02 11:15:00-06,Nezahualcóyotl - Del Valle,19,65,6
8905,2017-11-01 07:00:00-06,2017-11-01 08:30:00-06,Buenavista - Polanco,22,62,5
8931,2017-11-02 10:00:00-06,2017-11-02 11:15:00-06,Nezahualcóyotl - Del Valle,19,65,6
8920,2017-11-01 19:00:00-06,2017-11-01 20:00:00-06,Santa Fé - Ixtapaluca,21,64,5
8894,2017-11-01 16:00:00-06,2017-11-01 17:00:00-06,Insurgentes Sur - Ecatepec,21,55,5
8922,2017-11-02 20:00:00-06,2017-11-02 20:45:00-06,Centro - Ecatepec,19,63,6
8891,2017-11-01 10:00:00-06,2017-11-01 11:00:00-06,Ecatepec - Insurgentes Sur,22,55,5
8877,2017-11-01 20:00:00-06,2017-11-01 20:45:00-06,Santa Fé - Iztapalapa,19,55,6
8945,2017-11-02 20:00:00-06,2017-11-02 20:45:00-06,Condesa - Ixtapaluca,20,59,5
8894,2017-11-01 16:00:00-06,2017-11-01 17:00:00-06,Insurgentes Sur - Ecatepec,21,55,5
8919,2017-11-01 08:00:00-06,2017-11-01 08:45:00-06,Ixtapaluca - Condesa,18,59,6
8876,2017-11-01 16:00:00-06,2017-11-01 17:15:00-06,Del Valle - Nezahualcóyotl,18,65,6
8881,2017-11-01 09:00:00-06,2017-11-01 09:45:00-06,Ecatepec - Centro,22,63,5
8885,2017-11-01 11:00:00-06,2017-11-01 11:45:00-06,Ixtapaluca - Condesa,19,59,6
8887,2017-11-01 19:00:00-06,2017-11-01 19:45:00-06,Centro - Ecatepec,22,63,5
8883,2017-11-01 20:00:00-06,2017-11-01 20:45:00-06,Condesa - Ixtapaluca,18,59,6
8907,2017-11-01 10:00:00-06,2017-11-01 10:45:00-06,Iztapalapa - Santa Fé,19,55,6
8926,2017-11-02 10:00:00-06,2017-11-02 11:30:00-06,Buenavista - Polanco,18,62,6
8923,2017-11-02 11:00:00-06,2017-11-02 12:15:00-06,Nezahualcóyotl - Del Valle,18,65,6
8911,2017-11-01 18:00:00-06,2017-11-01 19:15:00-06,Del Valle - Nezahualcóyotl,21,65,5
8910,2017-11-01 16:00:00-06,2017-11-01 17:00:00-06,Santa Fé - Ixtapaluca,22,128,10
8935,2017-11-02 07:00:00-06,2017-11-02 07:45:00-06,Iztapalapa - Santa Fé,20,55,5
